record_id|period_dt|rfcrf_cif_no|rcrf_inst|rcrf_alpha|rcrf_date_audt|rcrf_time_audt|rcrf_name|rcrf_st_addr|rcrf_city|rcrf_state|rcrf_zip5|ubcrf_avf_flag|ubcrf_own_country|ubcrf_citizen|first_name|last_name|create_ts|update_ts
5499715907|2019-11-29|Recno: 70116183485|eVruD|zkkVnR|2020-01-17|19:00:44|Rachel Carter|238 Bradford Pass|North Christian|Indiana|33091|True|Mauritania|False|Joseph|Guerrero|2020-03-09 21:54:25|2020-03-23 09:32:38
7609438605|2019-10-01|Recno: 99049165052|toYlw|jahrRXq|2020-02-05|21:09:51|Selena King|976 Stephen Walks Suite 643|Pamelamouth|Pennsylvania|06107|True|Slovenia|True|Kelly|Lara|2020-03-02 23:32:44|2019-04-01 20:48:44
6494025316|2019-01-21|Recno: 96738458278|aXefl|UIRnrdwu|2020-03-04|02:27:04|Isaac Martinez|02872 Jacobson Brooks Suite 437|Millerbury|Hawaii|46583|True|Cuba|False|Andres|Diaz|2020-03-28 06:11:03|2019-12-01 03:54:37
1258778588|2019-06-10|Recno: 28642298017|fUuQJ|QCVgrAYpR|2020-05-05|04:37:33|Nancy Miller|560 Kayla Stravenue Apt. 050|Nicolestad|Georgia|07537|True|Honduras|False|John|Tyler|2020-03-13 08:17:33|2019-05-11 18:58:57
1717148427|2019-09-05|Recno: 55430628151|neayG|MyDjsgVts|2020-04-09|09:06:53|Kylie Powers|404 Rodriguez Spurs Suite 247|Thomashaven|Oregon|64698|False|Northern Mariana Islands|False|Michael|Simpson|2020-03-15 16:47:58|2020-02-01 01:35:20
7490539799|2020-03-27|Recno: 61219402507|qNuHW|NZonBI|2020-03-08|03:09:56|Derrick Krueger|42392 Jeremy Drive Apt. 046|Evanshaven|Idaho|06269|True|Costa Rica|True|Nicole|Willis|2020-03-15 01:44:20|2019-09-15 21:05:31
5338448398|2020-04-27|Recno: 64328871707|rRaQt|CXmrfiYWY|2020-05-03|23:06:08|Stephanie Ingram|246 Taylor Dale Apt. 451|New Dianeport|Utah|55491|True|Aruba|True|Jack|Klein|2020-03-04 04:46:41|2019-04-04 10:15:01
6386035421|2020-05-21|Recno: 69522378453|PXGfj|pebVDLko|2020-04-26|01:42:59|Kenneth Alexander|667 Ashley Road Suite 549|New Carl|California|38841|True|Hungary|False|Shannon|Shields|2020-03-20 17:26:14|2020-03-21 16:54:28
8037797809|2019-04-13|Recno: 72025490371|xFIxi|PrQHlo|2020-01-12|17:35:12|Gregory Horne|939 Novak Harbors|Smithport|Texas|34557|False|Finland|True|Alan|Underwood|2020-03-18 15:46:00|2020-04-16 03:55:17
9497895433|2020-03-13|Recno: 92111766975|amKTC|QoeUZbxMU|2020-02-19|19:31:19|Jamie Miranda|2779 Smith Cove Suite 667|Hansonmouth|Wisconsin|51627|False|Nicaragua|True|Michael|Hensley|2020-03-15 13:29:50|2019-12-30 20:28:53
2336189979|2019-11-08|Recno: 95156853209|dkPMv|ltJhyUmm|2020-05-02|07:32:39|Kaitlyn Robinson|0073 Mary Neck Suite 195|Lake Erinport|Colorado|00781|False|Brunei Darussalam|False|Angela|Ward|2020-03-07 07:37:06|2019-05-21 14:18:40
1694048648|2019-04-30|Recno: 30002672383|GPoQE|RpXGVbfUzE|2020-01-13|10:52:16|Lori Aguirre|77987 Hicks Club|Russellmouth|Wisconsin|22752|True|Australia|False|Joan|Haley|2020-03-26 11:27:24|2019-06-05 05:59:27
3581652129|2019-11-13|Recno: 83895019130|wGYOm|MzjbJuYMGm|2020-03-14|04:08:19|Angela Salazar|23067 Michael Meadows Suite 880|Hudsontown|Florida|75985|True|Syrian Arab Republic|False|David|Hughes|2020-03-04 22:59:38|2020-04-20 15:50:52
2707547774|2019-10-30|Recno: 98052506207|aZMmb|HQEzrIfmLV|2020-05-14|03:47:30|Jenna Roach|02659 Edwin Island Suite 944|New Robertville|Louisiana|41776|True|Honduras|False|Brian|Jordan|2020-03-15 11:21:34|2019-08-05 10:09:39
2804274005|2019-11-01|Recno: 70709653327|KDhXZ|SDkvlhfN|2020-04-03|11:44:23|Samantha Brown DDS|822 Hernandez Station|New Danielville|Kansas|62799|True|French Guiana|True|Darrell|Bullock|2020-03-18 23:52:21|2019-06-27 05:05:29
7111424788|2019-07-25|Recno: 30827100179|QoHIM|TFyVuDTyn|2020-05-20|11:43:58|Mark Friedman|617 Romero Pass|Frenchview|Hawaii|25419|False|Rwanda|True|Sally|Henderson|2020-03-28 21:56:34|2019-05-30 01:04:49
5041009422|2019-01-08|Recno: 85253323870|HATcX|mAHkpApHxk|2020-03-08|02:14:18|Aaron Garza|25135 Cheryl Wells|Jenniferport|New Mexico|92680|False|Azerbaijan|False|Erin|Richardson|2020-03-09 22:37:52|2019-07-29 16:12:37
9138888524|2020-05-18|Recno: 33936982508|WeSCw|qKCwbho|2020-03-08|09:14:12|Peggy Foster|354 Gonzalez Fields|South Tylermouth|Michigan|58651|False|Lesotho|True|Karen|Nelson|2020-03-03 18:29:44|2019-09-17 02:59:27
5052707740|2019-02-14|Recno: 61110290539|OEnfX|RzrblNs|2020-02-02|10:06:44|Jo Richardson|5172 Juan Crossing Apt. 663|Smithbury|Connecticut|40183|False|Belgium|False|Tracey|Huynh|2020-03-02 10:02:40|2019-05-14 10:16:34
9966387887|2020-04-05|Recno: 82609579778|SECCr|uzgaYk|2020-04-09|17:32:47|Derek Hall|3122 Billy Well Apt. 193|South Meaganburgh|Louisiana|28781|False|Nicaragua|True|Bailey|Jimenez|2020-03-03 23:00:38|2019-11-19 02:32:29
3405339943|2019-10-26|Recno: 63149112632|lNYix|dHKXCLMzF|2020-03-30|05:55:26|Elizabeth Griffin|266 Kimberly Canyon Apt. 818|Thomasshire|Minnesota|94153|True|Christmas Island|True|Shaun|Torres|2020-03-02 12:29:33|2019-11-05 11:40:30
7625617910|2019-05-20|Recno: 48928245985|kuMxi|SDJtBnMzDe|2020-03-28|00:53:57|Alyssa Walker|344 Walker Mountains|New Davidstad|Arkansas|69667|True|Angola|False|Rhonda|Duncan|2020-03-03 10:31:39|2019-05-25 12:19:21
6947643261|2020-02-22|Recno: 77037236954|rJACU|maLRmPT|2020-03-04|20:00:09|Angela Gonzalez|1640 Pena Greens Suite 742|Juliaside|Vermont|11598|False|Pakistan|True|Sandra|Smith|2020-03-19 21:33:19|2019-11-14 08:53:02
1269382011|2020-01-31|Recno: 77670514535|BmCsg|rPYrnlyk|2020-01-19|19:54:53|David Escobar|02534 Wise Village Suite 080|East Brenda|Georgia|89679|False|Afghanistan|True|Cynthia|Brown|2020-03-02 14:40:05|2020-03-16 20:10:17
